ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
105	1	1	2	0.000000	101.000000	68.000000	0.000000	0.000000	0	0	0
106	1	1	2	0.000000	97.000000	63.000000	0.000000	0.000000	0	0	0
107	3	1	2	0.000000	98.666667	64.000000	0.000000	0.000000	0	0	0
108	1	4	2	0.000000	98.000000	62.000000	0.000000	0.000000	0	0	0
109	2	3	1	0.000000	54.000000	33.500000	0.000000	0.000000	0	0	0
110	2	2	2	0.000000	37.500000	34.500000	0.000000	0.000000	0	0	0
111	8	1	1	0.000000	18.625000	17.625000	0.000000	0.000000	0	0	0
112	98	1	2	0.000000	25.908163	24.459184	0.000000	0.000000	0	0	0
113	1	3	3	0.000000	777.000000	777.000000	0.000000	0.000000	0	0	0
114	1	2	2	0.000000	120.000000	87.000000	0.000000	0.000000	0	0	0
115	0	5	1	Inf	Inf	Inf	Inf	Inf	0	0	0
116	1	4	1	0.000000	77.000000	56.000000	0.000000	0.000000	0	0	0
117	1	4	1	0.000000	62.000000	28.000000	0.000000	0.000000	0	0	0
118	3	1	1	0.000000	15.666667	15.666667	0.000000	0.000000	0	0	0
119	28	1	2	0.000000	9.285714	9.285714	0.000000	0.000000	0	0	0
120	2	2	3	0.000000	104.000000	88.500000	0.000000	0.000000	0	0	0
121	1	3	1	0.000000	103.000000	69.000000	0.000000	0.000000	0	0	0
122	1	1	2	0.000000	85.000000	35.000000	0.000000	0.000000	0	0	0
123	1	1	1	0.000000	100.000000	43.000000	0.000000	0.000000	0	0	0
124	2	3	2	0.000000	118.500000	42.500000	0.000000	0.000000	0	0	0
125	1	2	2	0.000000	100.000000	13.000000	0.000000	0.000000	0	0	0
126	139	1	2	0.000000	16.244604	15.402878	0.000000	0.000000	0	0	0
127	10	1	2	0.000000	3.600000	3.600000	0.000000	0.000000	0	0	0
128	1	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
129	358	2	2	0.000000	7.879888	7.776536	0.000000	0.000000	0	0	0
130	1	1	2	0.000000	123.000000	90.000000	0.000000	0.000000	0	0	0
131	1	2	2	0.000000	125.000000	92.000000	0.000000	0.000000	0	0	0
132	1	2	5	0.000000	124.000000	39.000000	0.000000	0.000000	0	0	0
133	1	2	4	0.000000	183.000000	56.000000	0.000000	0.000000	0	0	0
134	0	2	1	Inf	Inf	Inf	Inf	Inf	0	0	0
135	1	2	1	0.000000	232.000000	46.000000	0.000000	0.000000	0	0	0
136	14	1	1	0.000000	13.214286	12.214286	0.000000	0.000000	0	0	0
137	3	1	2	0.000000	53.000000	35.333333	0.000000	0.000000	0	0	0
138	3	1	2	0.000000	47.666667	30.666667	0.000000	0.000000	0	0	0
139	6	1	2	0.000000	48.166667	29.333333	0.000000	0.000000	0	0	0
140	1	1	2	0.000000	61.000000	42.000000	0.000000	0.000000	0	0	0
141	2	1	2	0.000000	78.000000	32.000000	0.000000	0.000000	0	0	0
142	3	1	2	0.000000	76.666667	35.000000	0.000000	0.000000	0	0	0
143	2	1	2	0.000000	87.500000	35.000000	0.000000	0.000000	0	0	0
144	8	1	1	0.000000	14.625000	14.625000	0.000000	0.000000	0	0	0
145	8	1	2	0.000000	14.125000	14.125000	0.000000	0.000000	0	0	0
146	15	1	2	0.000000	13.933333	13.933333	0.000000	0.000000	0	0	0
147	103	1	2	0.000000	19.155340	18.446602	0.000000	0.000000	0	0	0
148	26	1	1	0.000000	22.576923	22.230769	0.000000	0.000000	0	0	0
